pair,left_rater,right_rater,attribute,kappa,observed_agreement,support_left,support_right,support_union
R1_vs_R2,R1,R2,Compatibility,0.8610766559166461,0.965,53,65,66
R1_vs_R2,R1,R2,Flexibility,0.8735177865612649,0.97,55,55,61
R1_vs_R2,R1,R2,Functional Suitability,0.7411764705882353,0.9725,20,25,28
R1_vs_R2,R1,R2,Interaction Capability,0.7895032276171765,0.9625,36,43,47
R1_vs_R2,R1,R2,Maintainability,0.8969807433235597,0.9675,78,79,85
R1_vs_R2,R1,R2,Performance Efficiency,0.8880757640981489,0.9675,71,70,77
R1_vs_R2,R1,R2,Reliability,0.8774509803921569,0.965,66,72,76
R1_vs_R2,R1,R2,Safety,0.49811794228356343,0.995,3,1,3
R1_vs_R2,R1,R2,Security,0.9558011049723757,0.99,54,50,54
R1_vs_R3,R1,R3,Compatibility,0.8154981549815499,0.9525,53,68,70
R1_vs_R3,R1,R3,Flexibility,0.8274111675126904,0.9575,55,60,66
R1_vs_R3,R1,R3,Functional Suitability,0.8200514138817481,0.9825,20,21,24
R1_vs_R3,R1,R3,Interaction Capability,0.857278782112274,0.9775,36,33,39
R1_vs_R3,R1,R3,Maintainability,0.8422712933753943,0.95,78,80,89
R1_vs_R3,R1,R3,Performance Efficiency,0.8468330480223444,0.9575,71,62,75
R1_vs_R3,R1,R3,Reliability,0.884166443909828,0.9675,66,69,74
R1_vs_R3,R1,R3,Safety,0.49811794228356343,0.995,3,1,3
R1_vs_R3,R1,R3,Security,0.9558011049723757,0.99,54,50,54
R2_vs_R3,R2,R3,Compatibility,0.9368800721370604,0.9825,65,68,70
R2_vs_R3,R2,R3,Flexibility,0.9086294416243654,0.9775,55,60,62
R2_vs_R3,R2,R3,Functional Suitability,0.861671469740634,0.985,25,21,26
R2_vs_R3,R2,R3,Interaction Capability,0.854872650751034,0.975,43,33,43
R2_vs_R3,R2,R3,Maintainability,0.8665620094191523,0.9575,79,80,88
R2_vs_R3,R2,R3,Performance Efficiency,0.8730734360834089,0.965,70,62,73
R2_vs_R3,R2,R3,Reliability,0.9225206611570248,0.9775,72,69,75
R2_vs_R3,R2,R3,Safety,1.0,1.0,1,1,1
R2_vs_R3,R2,R3,Security,0.9771428571428571,0.995,50,50,51
