repo,arch_overview,context,views,adrs,deployment,interface,evaluation,quality,stakeholders
AI-on-the-edge-device,1,0,0,0,1,1,0,1,0
AISonobuoy,1,0,1,0,1,0,1,1,0
AiCSD,1,0,0,0,1,1,0,1,0
BirdsEye,1,0,1,0,1,0,0,0,0
BitNetMCU,1,0,1,0,0,0,1,0,0
DeepStack,0,0,0,0,1,1,1,1,0
FogBus2,1,0,0,0,1,0,1,0,0
JAMScript,0,0,0,0,1,1,1,1,0
KAN,1,1,1,0,1,1,0,1,0
LiteRT,1,0,0,0,1,1,1,1,0
MaixPy,1,0,1,0,1,1,1,1,0
ModelAssistant,1,0,0,0,1,1,1,0,0
NanoLLM,1,0,0,0,1,1,1,0,0
Olares,1,0,1,0,1,1,1,1,0
SydneyQt,1,0,0,0,0,1,0,0,0
Vitis-AI,1,1,1,0,1,1,1,0,0
WasmEdge,1,0,1,0,1,1,0,1,1
aXeleRate,1,0,0,0,1,0,0,0,0
ai-edge,1,1,1,0,1,1,1,0,0
ai8x-synthesis,1,1,1,0,1,0,1,0,0
ai8x-training,1,1,1,0,1,0,0,0,0
auritus,1,0,0,0,1,0,0,0,0
aws-iot-fleetwise-edge,1,1,1,0,1,1,1,1,0
azure-iot-edge-identity-translation-lite,1,1,1,0,1,1,0,1,0
azure-iotedge,1,0,0,0,0,0,0,1,0
baetyl,1,0,1,0,1,1,0,0,0
compage,1,0,0,0,1,1,0,1,0
dem,1,0,1,0,1,1,0,0,0
edge-aio-in-a-box,1,0,0,0,1,1,1,1,0
edge-home-orchestration-go,1,1,1,0,1,1,0,1,0
edge-infer,1,0,1,0,1,1,0,0,0
edgeai-gst-apps,0,0,0,0,1,0,1,0,0
edgehog,1,0,1,0,1,1,0,1,0
edgehog-device-runtime,1,0,1,0,1,1,1,1,0
edgen,1,0,1,0,1,1,1,1,0
edgerunner,1,0,0,0,0,1,0,0,0
ekuiper,1,1,1,0,1,1,1,1,1
emlearn,1,0,0,0,0,1,1,0,0
eve,1,1,1,0,1,1,0,1,0
executorch,1,1,1,0,1,1,1,1,0
fabedge,1,0,1,0,1,0,1,1,0
fedn,1,1,1,0,1,1,1,1,0
fledge,1,0,1,0,0,1,0,1,0
flogo,1,0,1,0,1,0,0,0,0
fogflow,1,1,1,0,1,1,1,1,1
hal-9100,1,1,0,0,1,1,0,1,0
heartkit,1,1,1,0,1,1,1,0,0
inngest,1,0,0,0,1,1,0,1,0
iotedge-eflow,1,1,0,0,1,1,0,1,0
iotedge-lorawan-starterkit,1,0,1,0,1,0,0,1,0
jevois,0,1,0,0,0,0,0,0,0
kantv,1,1,0,0,1,1,1,1,0
keylime,1,1,1,0,1,1,1,1,1
kubeedge,1,1,1,0,1,1,0,1,1
kura,1,0,0,0,0,1,0,1,0
loxilb,1,0,0,0,1,1,0,1,1
luos_engine,1,0,0,0,1,1,0,0,0
magistrala,1,0,0,0,1,1,0,1,1
microflow-rs,1,0,0,0,0,0,1,0,0
microshift,1,0,1,0,0,1,1,1,0
mindspore,1,0,1,0,1,1,1,1,0
model_server,1,1,1,0,1,1,1,1,0
montithings,1,0,1,0,1,1,0,0,0
nabto-embedded-sdk,1,0,0,0,1,1,0,0,0
nanomq,1,1,1,0,1,1,1,1,0
open-horizon,1,0,1,0,1,1,0,1,0
openvino_testdrive,1,0,0,0,1,1,1,1,0
piccolo,1,0,0,0,1,1,1,1,0
pipy,1,1,1,0,1,0,1,1,0
redpanda-edge-agent,1,0,0,0,1,1,0,0,0
rhel-edge-automation-arch,1,0,0,0,1,1,0,1,0
saf,1,0,1,0,0,0,0,0,0
salt,1,0,1,1,1,1,0,1,0
self,1,0,0,0,0,1,1,1,0
shifu,1,0,1,0,1,1,0,0,0
simpleiot,1,0,1,1,0,1,0,1,0
sleepkit,1,0,1,0,1,0,0,1,0
smart-social-distancing,1,0,0,0,1,1,1,1,0
supermq,1,0,0,0,1,1,0,1,0
tflite_beam,1,0,0,0,0,0,0,0,0
tflite_elixir,1,0,0,0,0,0,0,0,0
thin-edge.io,1,0,1,1,1,1,0,1,0
tokay-lite-sdk,1,0,0,0,0,0,0,0,0
trusted-connector,1,0,0,0,1,1,0,0,0
viseron,1,0,0,0,1,1,1,1,0
xsai,1,0,0,0,0,0,0,0,0
yomo,1,0,0,0,1,1,0,1,0
zilla,1,0,1,0,1,0,0,1,1
ztachip,1,0,1,0,0,1,0,0,0
